id,name,latitude,longitude,address,city_name,department,city_code,region,country,power_total_mw,operation_start_year,total_floor_area_sqm,IT_floor_area_sqm,progress_step,operator
125,EDF Lab Paris-Saclay,48.714,2.245,7 bd Gaspard Monge- 91120 Palaiseau,PALAISEAU,91,91120,Ile-de-France,France,11.600,2016,10000.000,5000.000,operating,EDF
127,Thales,48.791,1.974,2 Avenue Gay Lussac,ELANCOURT,78,78990,Ile-de-France,France,6.621,2016,9616.000,4808.000,operating,Thales
128,CNRS Délégation Paris-Villejuif,48.792,2.363,7 Rue Guy Môquet- 94800 Villejuif,VILLEJUIF,94,94800,Ile-de-France,France,0.598,,414.000,207.000,operating,CNRS
129,Agarik - Atos 4,48.821,1.987,rue Jean Jaurès - 78340 Les Clayes-sous-Bois,LES CLAYES-SOUS-BOIS,78,78340,Ile-de-France,France,1.000,2018,5219.000,700.000,operating,Atos - Evidian (Bull Group Compagny)
130,Agarik - Atos 5,48.821,1.987,rue Jean Jaurès - 78340 Les Clayes-sous-Bois,LES CLAYES-SOUS-BOIS,78,78340,Ile-de-France,France,0.000,,0.000,0.000,operating,Atos - Evidian (Bull Group Compagny)
131,IBM France / kyndryl ?,48.849,2.552,"1 Place Jean-Baptiste Clément / 11 Boulevard du Mont d\,Est",NOISY-LE-GRAND,93,93160,Ile-de-France,France,38.681,,32856.000,16428.000,operating,IBM
132,"Datacenter Banque de France - autogenerated #2",48.846,2.620,2 Av. Pierre Mendès France- 77186 Noisiel / 2 bis Avenue Pierre Mendès France 77315 Marne-La-Vallee,NOISIEL,77,77186,Ile-de-France,France,7.330,,6320.000,2160.000,operating,Banque de France
133,ALFA-SAFETY PARIS_1,48.840,2.335,166 Boulevard du Montparnasse,PARIS,75,75014,Ile-de-France,France,4.158,,3532.000,1766.000,operating,Alfa Safety
134,ALFA-SAFETY PARIS_2,48.840,2.335,166 Boulevard du Montparnasse,PARIS,75,75015,Ile-de-France,France,4.158,,3532.000,1766.000,operating,Alfa Safety
135,CYLLENE NANTERRE,48.903,2.229,105 Rue Veuve Lacroix,NANTERRE,92,92000,Ile-de-France,France,0.321,,273.000,1365.000,operating,Cyllene
136,CYLLENE MONTIGNY-LE-BRETONNEUX,48.770,2.038,8 Av. des 3 Peuples,MONTIGNY-LE-BRETONNEUX,78,78180,Ile-de-France,France,1.208,,1026.000,513.000,operating,Cyllene
137,ETIX_EVERYWHERE PAR3,48.781,2.190,"14-16 Av. de l\,Europe- 78140 Vélizy-Villacoublay",VELIZY,78,78130,Ile-de-France,France,3.800,1999,1480.000,3400.000,operating,Etix Everywhere
138,"IMA\,DIFF",48.875,2.349,3 Cité Paradis,PARIS,75,75010,Ile-de-France,France,1.954,,1660.000,830.000,operating,Imadiff
139,ADISTA AIX_EN_PROVENCE,43.488,5.341,290- Avenue Galilée,Aix-en-Provence,13,13100,"Provence-Alpes-Côte d\,Azur",France,14.914,2009,10076.000,5038.000,operating,ADISTA
140,ADISTA BOURGES,47.081,2.399,14 rue Didier Daurat Esplanade de l’aéroport,Bourges,18,18000,Centre-Val de Loire,France,0.518,2016,440.000,220.000,operating,ADISTA
